name,extension,path,dirs
Legendary_Juggernaut-Fallen,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Legendary_Juggernaut-Fallen.mp3,alternative
Leisure_Alaska-In_Me,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Leisure_Alaska-In_Me.mp3,alternative
Loomis-It_s_Too_Hard,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Loomis-It_s_Too_Hard.mp3,alternative
Loquat-Swingset_Chain,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Loquat-Swingset_Chain.mp3,alternative
Manic_Cure-You_Know,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Manic_Cure-You_Know.mp3,alternative
manifold-room_22,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\manifold-room_22.mp3,alternative
manifold-setting,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\manifold-setting.mp3,alternative
Marcco-Today,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Marcco-Today.mp3,alternative
Mark_Schwaber-ghosting,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Mark_Schwaber-ghosting.mp3,alternative
Matthew_Long-Space_Cowboy,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Matthew_Long-Space_Cowboy.mp3,alternative
Matthew_Walker-What_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Matthew_Walker-What_.mp3,alternative
Matt_Monsoor-Ride,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Matt_Monsoor-Ride.mp3,alternative
Mike_Hicks-You_re_Still_Lost,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Mike_Hicks-You_re_Still_Lost.mp3,alternative
Millbrook_Music-Crude_Model_of_You,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Millbrook_Music-Crude_Model_of_You.mp3,alternative
Mission_to_Mars-watery_grave,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Mission_to_Mars-watery_grave.mp3,alternative
Moto__formerly_Mildseven_-Size_Nine,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Moto__formerly_Mildseven_-Size_Nine.mp3,alternative
My_Favorite_Dancer-Hey_Abby__I_thought_this_was_a_different_bunk_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\My_Favorite_Dancer-Hey_Abby__I_thought_this_was_a_different_bunk_.mp3,alternative
New_Cartel-Wait_Forever,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\New_Cartel-Wait_Forever.mp3,alternative
nothot-I_Feel_Better_Already,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\nothot-I_Feel_Better_Already.mp3,alternative
Novatemp-Coming_Down,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Novatemp-Coming_Down.mp3,alternative
number_99-common_DEMO,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\number_99-common_DEMO.mp3,alternative
Oscar_Trim-Strow,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Oscar_Trim-Strow.mp3,alternative
Panel-435,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Panel-435.mp3,alternative
Peppermint_Stranger-No_Love,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Peppermint_Stranger-No_Love.mp3,alternative
Perfectly_Good_Airplanes-Kids_or_Animals,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Perfectly_Good_Airplanes-Kids_or_Animals.mp3,alternative
Peter_Adams-Cementalisque,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Peter_Adams-Cementalisque.mp3,alternative
Peter_Adams-Listen_Harmony,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Peter_Adams-Listen_Harmony.mp3,alternative
Phideaux-fragment,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Phideaux-fragment.mp3,alternative
pilot_round_the_sun-hadwehad,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\pilot_round_the_sun-hadwehad.mp3,alternative
Poetica-Behind_the_door,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Poetica-Behind_the_door.mp3,alternative
Purple_Wage-Daydream,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Purple_Wage-Daydream.mp3,alternative
Pyramid_-Monster_in_the_Canyon,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Pyramid_-Monster_in_the_Canyon.mp3,alternative
Pyramid_-Streets_Were_Raining,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Pyramid_-Streets_Were_Raining.mp3,alternative
Remy_De_La_Mora-Ostrich,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Remy_De_La_Mora-Ostrich.mp3,alternative
revlover-without_ocean,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\revlover-without_ocean.mp3,alternative
Rick_Dobbelaer-Your_Skin,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Rick_Dobbelaer-Your_Skin.mp3,alternative
rick_temporao-maniac,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\rick_temporao-maniac.mp3,alternative
rm__101-half_of_what_you_wanted,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\rm__101-half_of_what_you_wanted.mp3,alternative
rm__101-straight_line,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\rm__101-straight_line.mp3,alternative
ROOMTONE-radio,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\ROOMTONE-radio.mp3,alternative
Sarah_Fimm-red_paper_bag,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sarah_Fimm-red_paper_bag.mp3,alternative
Sean_Moore-Soliloquy,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sean_Moore-Soliloquy.mp3,alternative
Secret_Girl-Human_Exhibit,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Secret_Girl-Human_Exhibit.mp3,alternative
Secret_Suburbia-White_Flight,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Secret_Suburbia-White_Flight.mp3,alternative
Secret_Suburbia-_The_Ghost_Of__Santa_Fe,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Secret_Suburbia-_The_Ghost_Of__Santa_Fe.mp3,alternative
Sheldon_Kelly-Branding_Cows__No_Use_To_Me_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sheldon_Kelly-Branding_Cows__No_Use_To_Me_.mp3,alternative
Shortwave_Radio-Cardiac,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Shortwave_Radio-Cardiac.mp3,alternative
SMOKESCREEN-California__2004_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\SMOKESCREEN-California__2004_.mp3,alternative
SMOKESCREEN-Don_t_Say,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\SMOKESCREEN-Don_t_Say.mp3,alternative
SMOKESCREEN-Parallel,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\SMOKESCREEN-Parallel.mp3,alternative
SMOKESCREEN-Wasting_Away,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\SMOKESCREEN-Wasting_Away.mp3,alternative
Stara_Zagora-luster,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Stara_Zagora-luster.mp3,alternative
stars_of_stage_and_screen-silver_memories,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\stars_of_stage_and_screen-silver_memories.mp3,alternative
stars_of_stage_and_screen-starlight,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\stars_of_stage_and_screen-starlight.mp3,alternative
stereogirl-true_what_they_say,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\stereogirl-true_what_they_say.mp3,alternative
steve_hefter-cure_for_sadness,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\steve_hefter-cure_for_sadness.mp3,alternative
Sugarplum_Fairies-sugarfree,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sugarplum_Fairies-sugarfree.mp3,alternative
Sugarplum_Fairies-the_state_we_re_in,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sugarplum_Fairies-the_state_we_re_in.mp3,alternative
Sugarplum_Fairies-_2_Kraft_Paperbag,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Sugarplum_Fairies-_2_Kraft_Paperbag.mp3,alternative
Ted_McCloskey-wish_you_were_there,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Ted_McCloskey-wish_you_were_there.mp3,alternative
the_albacore_pageant-your_beautiful_way,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\the_albacore_pageant-your_beautiful_way.mp3,alternative
The_Beeps-tell_me,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Beeps-tell_me.mp3,alternative
The_Curtain_Society-Marigold_Girl,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Curtain_Society-Marigold_Girl.mp3,alternative
The_D_A_s-Taxis_And_Trains,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_D_A_s-Taxis_And_Trains.mp3,alternative
The_Golden_Sounds-Jaded_Robots,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Golden_Sounds-Jaded_Robots.mp3,alternative
The_Golden_Sounds-whistles_and_windchimes,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Golden_Sounds-whistles_and_windchimes.mp3,alternative
The_Mercury_Stars-Just_Below_The_Surface_Lies_Something_Thicker_Than,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Mercury_Stars-Just_Below_The_Surface_Lies_Something_Thicker_Than.mp3,alternative
The_Milwaukees-Drink_Soviet_Champagne,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Milwaukees-Drink_Soviet_Champagne.mp3,alternative
The_Rantings_of_EVA-Infrared,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Rantings_of_EVA-Infrared.mp3,alternative
The_Rosewood_Fall-Driving_Salinas,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Rosewood_Fall-Driving_Salinas.mp3,alternative
The_Rubber_Maids-Mr__Moustache,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Rubber_Maids-Mr__Moustache.mp3,alternative
The_Shiva_Furnace-Miza,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Shiva_Furnace-Miza.mp3,alternative
The_Sudden_Recovery-Consign,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Sudden_Recovery-Consign.mp3,alternative
The_Sudden_Recovery-My_Song,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Sudden_Recovery-My_Song.mp3,alternative
The_Vision_of_a_Dying_World-We_re_Not_Afraid_of_Silence,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\The_Vision_of_a_Dying_World-We_re_Not_Afraid_of_Silence.mp3,alternative
tingler-New_York,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\tingler-New_York.mp3,alternative
Tom_Marshall___Co-Appreciate,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Tom_Marshall___Co-Appreciate.mp3,alternative
Tom_McAteer-Selfish_Goodbye,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Tom_McAteer-Selfish_Goodbye.mp3,alternative
Tubby-Dark_Road,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Tubby-Dark_Road.mp3,alternative
T_minus_Band-2084,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\T_minus_Band-2084.mp3,alternative
Velasco-Calma,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Velasco-Calma.mp3,alternative
Very_Large_Array-magnified,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Very_Large_Array-magnified.mp3,alternative
via_audio-developing_active_people,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\via_audio-developing_active_people.mp3,alternative
Windermere-Trailer_Park,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Windermere-Trailer_Park.mp3,alternative
Windsor_Bellephone-Get_Back_My_Shine,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Windsor_Bellephone-Get_Back_My_Shine.mp3,alternative
Wisermind-Drama_King,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Wisermind-Drama_King.mp3,alternative
Woody-Sandwitch,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Woody-Sandwitch.mp3,alternative
Zach_Madden-Kid,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Zach_Madden-Kid.mp3,alternative
Zach_Madden-Scribbledown,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\Zach_Madden-Scribbledown.mp3,alternative
___In_the_Dirty_City-Longtooth,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\alternative\___In_the_Dirty_City-Longtooth.mp3,alternative
All_Men_Are_Dogs_-GIGOLETTE,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\blues\All_Men_Are_Dogs_-GIGOLETTE.mp3,blues
All_Men_Are_Dogs_-I_M_LOOKING_FOR_MY_HUSBAND_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\blues\All_Men_Are_Dogs_-I_M_LOOKING_FOR_MY_HUSBAND_.mp3,blues
Andy_Kimbel-Red_Hot_Blues,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\blues\Andy_Kimbel-Red_Hot_Blues.mp3,blues
barry_harvey-__ORIGINAL__BLACK___BLUE__MASTERPIECE_,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\blues\barry_harvey-__ORIGINAL__BLACK___BLUE__MASTERPIECE_.mp3,blues
BB_CHUNG_KING_AND_THE_BUDDAHEADS-COMPANY_GRAVEYARD,mp3,C:\users\user\studia\audio_clustering_autoencoder_versus_classic\datasets\music_audio_benchmark\blues\BB_CHUNG_KING_AND_THE_BUDDAHEADS-COMPANY_GRAVEYARD.mp3,blues
